variant,N,procs,threads,time_s,primes
openmp,1000000,1,1,0.005124,78498
openmp,1000000,1,2,0.037424,78498
openmp,1000000,1,4,0.032341,78498
openmp,1000000,1,6,0.029184,78498
openmp,1000000,1,8,0.027623,78498
openmp,1000000,1,12,0.030425,78498
mpi,1000000,1,1,0.001426,78498
mpi,1000000,2,1,0.000691,78498
mpi,1000000,4,1,0.000359,78498
mpi,1000000,6,1,0.000276,78498
mpi,1000000,8,1,0.000297,78498
mpi,1000000,12,1,0.000213,78498
hybrid,1000000,1,1,0.001414,78498
hybrid,1000000,1,2,0.002417,78498
hybrid,1000000,1,4,0.001762,78498
hybrid,1000000,1,6,0.001911,78498
hybrid,1000000,1,8,0.00203,78498
hybrid,1000000,1,12,0.00219,78498
hybrid,1000000,2,1,0.000722,78498
hybrid,1000000,2,2,0.001158,78498
hybrid,1000000,2,4,0.001521,78498
hybrid,1000000,2,6,0.001186,78498
hybrid,1000000,2,8,,
hybrid,1000000,2,12,,
hybrid,1000000,4,1,0.000372,78498
hybrid,1000000,4,2,0.005284,78498
hybrid,1000000,4,4,,
hybrid,1000000,4,6,,
hybrid,1000000,4,8,,
hybrid,1000000,4,12,,
hybrid,1000000,6,1,0.000276,78498
hybrid,1000000,6,2,0.003737,78498
hybrid,1000000,6,4,,
hybrid,1000000,6,6,,
hybrid,1000000,6,8,,
hybrid,1000000,6,12,,
hybrid,1000000,8,1,0.000301,78498
hybrid,1000000,8,2,,
hybrid,1000000,8,4,,
hybrid,1000000,8,6,,
hybrid,1000000,8,8,,
hybrid,1000000,8,12,,
hybrid,1000000,12,1,0.000228,78498
hybrid,1000000,12,2,,
hybrid,1000000,12,4,,
hybrid,1000000,12,6,,
hybrid,1000000,12,8,,
hybrid,1000000,12,12,,
openmp,5000000,1,1,0.02772,348513
openmp,5000000,1,2,0.1737,348513
openmp,5000000,1,4,0.156056,348513
openmp,5000000,1,6,0.140777,348513
openmp,5000000,1,8,0.142734,348513
openmp,5000000,1,12,0.129724,348513
mpi,5000000,1,1,0.00712,348513
mpi,5000000,2,1,0.003776,348513
mpi,5000000,4,1,0.001874,348513
mpi,5000000,6,1,0.001322,348513
mpi,5000000,8,1,0.001572,348513
mpi,5000000,12,1,0.001179,348513
hybrid,5000000,1,1,0.007034,348513
hybrid,5000000,1,2,0.006602,348513
hybrid,5000000,1,4,0.006599,348513
hybrid,5000000,1,6,0.00686,348513
hybrid,5000000,1,8,0.007162,348513
hybrid,5000000,1,12,0.007566,348513
hybrid,5000000,2,1,0.004076,348513
hybrid,5000000,2,2,0.003736,348513
hybrid,5000000,2,4,0.004554,348513
hybrid,5000000,2,6,0.004322,348513
hybrid,5000000,2,8,,
hybrid,5000000,2,12,,
hybrid,5000000,4,1,0.002024,348513
hybrid,5000000,4,2,0.00997,348513
hybrid,5000000,4,4,,
hybrid,5000000,4,6,,
hybrid,5000000,4,8,,
hybrid,5000000,4,12,,
hybrid,5000000,6,1,0.001452,348513
hybrid,5000000,6,2,0.006347,348513
hybrid,5000000,6,4,,
hybrid,5000000,6,6,,
hybrid,5000000,6,8,,
hybrid,5000000,6,12,,
hybrid,5000000,8,1,0.001686,348513
hybrid,5000000,8,2,,
hybrid,5000000,8,4,,
hybrid,5000000,8,6,,
hybrid,5000000,8,8,,
hybrid,5000000,8,12,,
hybrid,5000000,12,1,0.001098,348513
hybrid,5000000,12,2,,
hybrid,5000000,12,4,,
hybrid,5000000,12,6,,
hybrid,5000000,12,8,,
hybrid,5000000,12,12,,
openmp,10000000,1,1,0.062349,664579
openmp,10000000,1,2,0.436509,664579
openmp,10000000,1,4,0.330548,664579
openmp,10000000,1,6,0.319895,664579
openmp,10000000,1,8,0.311324,664579
openmp,10000000,1,12,0.271812,664579
mpi,10000000,1,1,0.015624,664579
mpi,10000000,2,1,0.007915,664579
mpi,10000000,4,1,0.004123,664579
mpi,10000000,6,1,0.002976,664579
mpi,10000000,8,1,0.00345,664579
mpi,10000000,12,1,0.005139,664579
hybrid,10000000,1,1,0.015019,664579
hybrid,10000000,1,2,0.012477,664579
hybrid,10000000,1,4,0.011302,664579
hybrid,10000000,1,6,0.011537,664579
hybrid,10000000,1,8,0.012407,664579
hybrid,10000000,1,12,0.011714,664579
hybrid,10000000,2,1,0.007284,664579
hybrid,10000000,2,2,0.006976,664579
hybrid,10000000,2,4,0.007083,664579
hybrid,10000000,2,6,0.007844,664579
hybrid,10000000,2,8,,
hybrid,10000000,2,12,,
hybrid,10000000,4,1,0.004064,664579
hybrid,10000000,4,2,0.009398,664579
hybrid,10000000,4,4,,
hybrid,10000000,4,6,,
hybrid,10000000,4,8,,
hybrid,10000000,4,12,,
hybrid,10000000,6,1,0.002801,664579
hybrid,10000000,6,2,0.014877,664579
hybrid,10000000,6,4,,
hybrid,10000000,6,6,,
hybrid,10000000,6,8,,
hybrid,10000000,6,12,,
hybrid,10000000,8,1,0.003354,664579
hybrid,10000000,8,2,,
hybrid,10000000,8,4,,
hybrid,10000000,8,6,,
hybrid,10000000,8,8,,
hybrid,10000000,8,12,,
hybrid,10000000,12,1,0.003287,664579
hybrid,10000000,12,2,,
hybrid,10000000,12,4,,
hybrid,10000000,12,6,,
hybrid,10000000,12,8,,
hybrid,10000000,12,12,,
